ID_frame,TimeStamp,MAC,AP,RSSI,Vendor
"15026,""2016-03-14 15:52:27"",2C:44:FD:51:D1:B3,public,6,""Hewlett Packard"""
"15027,""2016-03-14 15:52:27"",2C:44:FD:3C:AD:31,Swisscom_Auto_Login,12,""Hewlett Packard"""
"15028,""2016-03-14 15:52:27"",2C:44:FD:3C:AD:32,eth,9,""Hewlett Packard"""
"15029,""2016-03-14 15:52:27"",78:BA:F9:CB:24:A4,Swisscom_Auto_Login,13,Unknown"
"15030,""2016-03-14 15:52:27"",78:BA:F9:CB:24:A0,zephyros,13,Unknown"
"15031,""2016-03-14 15:52:27"",78:BA:F9:CB:24:A5,""Coop free"",10,Unknown"
"15032,""2016-03-14 15:52:27"",78:BA:F9:CB:24:A3,Swisscom,7,Unknown"
"15033,""2016-03-14 15:52:27"",2C:44:FD:3C:AD:34,eduroam,10,""Hewlett Packard"""
"15034,""2016-03-14 15:52:28"",78:BA:F9:CB:24:A1,stocktaking,11,Unknown"
"15035,""2016-03-14 15:52:28"",2C:44:FD:3C:AD:33,public,13,""Hewlett Packard"""
"15036,""2016-03-14 15:52:28"",2C:44:FD:51:D1:B4,eduroam,11,""Hewlett Packard"""
"15037,""2016-03-14 15:52:28"",2C:44:FD:51:D1:B2,eth,4,""Hewlett Packard"""
"15038,""2016-03-14 15:52:28"",A0:48:1C:35:0F:31,Swisscom_Auto_Login,6,Unknown"
"15039,""2016-03-14 15:52:28"",A0:48:1C:35:0F:32,,6,Unknown"
"15040,""2016-03-14 15:52:28"",2C:44:FD:51:D1:B3,public,6,""Hewlett Packard"""
"15041,""2016-03-14 15:52:28"",2C:44:FD:3C:AD:31,Swisscom_Auto_Login,12,""Hewlett Packard"""
"15042,""2016-03-14 15:52:28"",2C:44:FD:3C:AD:32,eth,9,""Hewlett Packard"""
"15043,""2016-03-14 15:52:28"",78:BA:F9:CB:24:A4,Swisscom_Auto_Login,13,Unknown"
"15044,""2016-03-14 15:52:28"",78:BA:F9:CB:24:A0,zephyros,13,Unknown"
"15045,""2016-03-14 15:52:28"",78:BA:F9:CB:24:A5,""Coop free"",10,Unknown"
"15046,""2016-03-14 15:52:28"",78:BA:F9:CB:24:A3,Swisscom,7,Unknown"
"15047,""2016-03-14 15:52:28"",2C:44:FD:3C:AD:34,eduroam,10,""Hewlett Packard"""
"15048,""2016-03-14 15:52:28"",78:BA:F9:CB:24:A1,stocktaking,11,Unknown"
"15049,""2016-03-14 15:52:28"",2C:44:FD:3C:AD:33,public,13,""Hewlett Packard"""
"15050,""2016-03-14 15:52:28"",2C:44:FD:51:D1:B4,eduroam,11,""Hewlett Packard"""
"15051,""2016-03-14 15:52:28"",2C:44:FD:51:D1:B2,eth,4,""Hewlett Packard"""
"15052,""2016-03-14 15:52:28"",A0:48:1C:35:0F:31,Swisscom_Auto_Login,6,Unknown"
"15053,""2016-03-14 15:52:28"",A0:48:1C:35:0F:32,,6,Unknown"
"15054,""2016-03-14 15:52:28"",2C:44:FD:51:D1:B3,public,6,""Hewlett Packard"""
"15055,""2016-03-14 15:52:28"",2C:44:FD:3C:AD:31,Swisscom_Auto_Login,12,""Hewlett Packard"""
"15056,""2016-03-14 15:52:28"",2C:44:FD:3C:AD:32,eth,9,""Hewlett Packard"""
"15057,""2016-03-14 15:52:28"",78:BA:F9:CB:24:A4,Swisscom_Auto_Login,13,Unknown"
"15058,""2016-03-14 15:52:28"",78:BA:F9:CB:24:A0,zephyros,13,Unknown"
"15059,""2016-03-14 15:52:28"",78:BA:F9:CB:24:A5,""Coop free"",10,Unknown"
"15060,""2016-03-14 15:52:28"",78:BA:F9:CB:24:A3,Swisscom,7,Unknown"
"15061,""2016-03-14 15:52:28"",2C:44:FD:3C:AD:34,eduroam,10,""Hewlett Packard"""
"15062,""2016-03-14 15:52:28"",78:BA:F9:CB:24:A1,stocktaking,11,Unknown"
"15063,""2016-03-14 15:52:28"",2C:44:FD:3C:AD:33,public,13,""Hewlett Packard"""
"15064,""2016-03-14 15:52:28"",2C:44:FD:51:D1:B4,eduroam,11,""Hewlett Packard"""
"15065,""2016-03-14 15:52:28"",2C:44:FD:51:D1:B2,eth,4,""Hewlett Packard"""
"15066,""2016-03-14 15:52:28"",A0:48:1C:35:0F:31,Swisscom_Auto_Login,6,Unknown"
"15067,""2016-03-14 15:52:29"",A0:48:1C:35:0F:32,,6,Unknown"
"15068,""2016-03-14 15:52:29"",2C:44:FD:51:D1:B3,public,6,""Hewlett Packard"""
