
2016_03_14_15_38_58_433,$Sound pressure: 52.5000000000 dB,Luminosity: 90.9090881347 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_39_01_070,$Sound pressure: 52.5000000000 dB,Luminosity: 91.8866043090 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_39_03_737,$Sound pressure: 51.8750000000 dB,Luminosity: 90.3225784301 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_39_06_374,$Sound pressure: 52.5000000000 dB,Luminosity: 89.0518112182 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_39_09_041,$Sound pressure: 51.2500000000 dB,Luminosity: 89.5405654907 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_39_11_678,$Sound pressure: 51.2500000000 dB,Luminosity: 90.1270751953 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_39_14_330,$Sound pressure: 50.6250000000 dB,Luminosity: 90.8113403320 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_39_16_982,$Sound pressure: 50.6250000000 dB,Luminosity: 91.7888565063 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_39_19_634,$Sound pressure: 50.6250000000 dB,Luminosity: 93.0596313476 ,Dust: 0.0399999980 mg/m,
2016_03_14_15_39_22_270,$Sound pressure: 50.6250000000 dB,Luminosity: 92.6686248779 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_39_24_938,$Sound pressure: 51.8750000000 dB,Luminosity: 92.3753662109 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_39_27_574,$Sound pressure: 51.8750000000 dB,Luminosity: 91.3978500366 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_39_30_242,$Sound pressure: 51.8750000000 dB,Luminosity: 92.8641281127 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_39_32_878,$Sound pressure: 52.5000000000 dB,Luminosity: 96.7741928100 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_39_35_530,$Sound pressure: 51.8750000000 dB,Luminosity: 96.5786895751 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_39_38_182,$Sound pressure: 52.5000000000 dB,Luminosity: 96.4809417724 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_39_40_834,$Sound pressure: 51.8750000000 dB,Luminosity: 96.4809417724 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_39_43_471,$Sound pressure: 54.3750000000 dB,Luminosity: 96.4809417724 ,Dust: 0.0322580623 mg/m,
2016_03_14_15_39_46_123,$Sound pressure: 52.5000000000 dB,Luminosity: 96.4809417724 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_39_48_775,$Sound pressure: 54.3750000000 dB,Luminosity: 96.4809417724 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_39_51_442,$Sound pressure: 55.2631568908 dB,Luminosity: 96.2854385375 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_39_54_079,$Sound pressure: 56.0526313781 dB,Luminosity: 96.0899353027 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_39_56_731,$Sound pressure: 55.5263175964 dB,Luminosity: 96.0899353027 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_39_59_383,$Sound pressure: 54.3750000000 dB,Luminosity: 95.8944244384 ,Dust: 0.0329032278 mg/m,
2016_03_14_15_40_02_035,$Sound pressure: 55.0000000000 dB,Luminosity: 95.5034179687 ,Dust: 0.0290322570 mg/m,
2016_03_14_15_40_04_671,$Sound pressure: 53.7500000000 dB,Luminosity: 95.1124114990 ,Dust: 0.0329032278 mg/m,
2016_03_14_15_40_07_323,$Sound pressure: 53.7500000000 dB,Luminosity: 95.1124114990 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_40_09_975,$Sound pressure: 52.5000000000 dB,Luminosity: 95.0146636962 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_40_12_643,$Sound pressure: 53.1250000000 dB,Luminosity: 94.4281539916 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_40_15_279,$Sound pressure: 55.5263175964 dB,Luminosity: 95.0146636962 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_40_17_931,$Sound pressure: 57.3684196472 dB,Luminosity: 94.9169082641 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_40_20_583,$Sound pressure: 55.5263175964 dB,Luminosity: 94.7214050292 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_40_23_235,$Sound pressure: 61.4102554321 dB,Luminosity: 94.7214050292 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_40_25_887,$Sound pressure: 54.3750000000 dB,Luminosity: 94.6236572265 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_40_28_524,$Sound pressure: 54.3750000000 dB,Luminosity: 94.5259017944 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_40_31_176,$Sound pressure: 51.2500000000 dB,Luminosity: 96.7741928100 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_40_33_843,$Sound pressure: 51.2500000000 dB,Luminosity: 94.6236572265 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_40_36_480,$Sound pressure: 51.2500000000 dB,Luminosity: 93.1573791503 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_40_39_132,$Sound pressure: 55.0000000000 dB,Luminosity: 94.4281539916 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_40_41_784,$Sound pressure: 55.5263175964 dB,Luminosity: 91.3000946044 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_40_44_436,$Sound pressure: 52.5000000000 dB,Luminosity: 97.5562057495 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_40_47_072,$Sound pressure: 53.1250000000 dB,Luminosity: 98.4359741210 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_40_49_724,$Sound pressure: 54.3750000000 dB,Luminosity: 98.5337219238 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_40_52_376,$Sound pressure: 53.1250000000 dB,Luminosity: 98.5337219238 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_40_55_044,$Sound pressure: 53.7500000000 dB,Luminosity: 98.4359741210 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_40_57_696,$Sound pressure: 57.1052627563 dB,Luminosity: 98.1427154541 ,Dust: 0.0290322570 mg/m,
2016_03_14_15_41_00_332,$Sound pressure: 54.3750000000 dB,Luminosity: 96.7741928100 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_41_02_984,$Sound pressure: 58.6842117309 dB,Luminosity: 82.7957000732 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_41_05_636,$Sound pressure: 60.1282043457 dB,Luminosity: 62.1700897216 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_41_08_288,$Sound pressure: 59.4736862182 dB,Luminosity: 57.7712593078 ,Dust: 0.0348387098 mg/m,
2016_03_14_15_41_10_924,$Sound pressure: 60.0000000000 dB,Luminosity: 55.7184753417 ,Dust: 0.0354838705 mg/m,
2016_03_14_15_41_13_576,$Sound pressure: 58.9473686218 dB,Luminosity: 52.4926681518 ,Dust: 0.0322580623 mg/m,
2016_03_14_15_41_16_228,$Sound pressure: 57.8947372436 dB,Luminosity: 43.1085052490 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_41_18_896,$Sound pressure: 56.5789489746 dB,Luminosity: 84.4574813842 ,Dust: 0.0316129016 mg/m,
