-31,3,55
-29,4,55
-31,4,54
-31,4,54
-30,4,54
-31,4,54
-31,4,54
-31,4,54
-30,4,55
-31,4,55
-30,4,54
-30,4,55
-31,4,54
-30,4,54
-31,5,55
-31,5,54
-31,5,54
-31,5,54
-32,5,53
-30,6,54
-31,5,54
-31,5,54
-30,5,54
-31,5,54
-31,5,54
-31,5,54
-31,5,54
-31,5,54
-31,4,54
-31,4,54
-30,5,55
-30,5,54
-31,4,55
-30,4,54
-31,4,54
-31,4,54
-31,4,55
-31,4,54
-30,5,54
-31,5,54
-30,5,54
-31,5,54
-31,5,54
-30,5,54
-31,4,54
-30,4,55
-31,4,54
-32,4,54
-31,4,54
-31,4,54
-32,4,54
-31,4,54
-32,4,53
-32,5,54
-32,5,54
-31,5,54
-31,4,54
-30,4,54
-30,5,55
-31,5,54
-31,4,54
-31,5,54
-31,5,54
-31,5,54
-31,5,54
-30,5,54
-31,5,54
-31,5,54
-30,5,55
-30,5,55
-30,5,55
-30,5,55
-30,5,54
-30,5,54
-30,5,54
-30,5,54
-30,5,54
-30,5,54
-30,5,55
-30,5,54
-30,5,54
-30,6,54
-30,5,54
-30,5,54
-31,5,55
-30,5,55
-31,5,54
-30,6,55
-31,4,54
-30,6,55
-30,6,54
-29,6,55
-29,6,55
-30,6,55
-30,5,55
-30,5,55
-30,5,54
-30,5,55
-30,5,54
-31,5,54
-30,5,54
-30,5,54
-31,4,54
-30,4,55
-30,4,55
-30,4,55
-30,4,55
-30,3,54
-31,4,54
-31,3,54
-31,3,54
-31,3,54
-31,3,55
-31,3,54
-31,3,54
-30,3,54
-31,3,54
-31,3,54
-31,3,55
-31,3,54
-31,3,54
-31,3,54
-31,3,54
-30,3,54
-31,3,54
-30,3,55
-30,3,55
-31,2,55
-31,2,54
-31,2,55
-31,2,55
-31,1,55
-31,1,55
-30,1,56
-31,3,55
-34,-2,47
-36,-2,49
-36,-1,51
-40,1,48
-43,0,46
-40,-1,47
-42,1,47
-42,0,46
-41,0,47
-41,0,47
-42,0,46
-41,0,47
-41,0,47
-40,0,48
-40,0,48
-41,0,47
-41,0,46
-41,0,47
-41,0,47
-42,0,47
-42,0,46
-42,0,47
-42,0,46
-41,-1,47
-41,0,47
-41,0,47
-40,-1,47
-40,0,47
-41,0,47
-40,0,47
-40,0,48
-40,0,47
-41,0,48
-42,0,46
-40,-1,47
-40,1,48
-41,0,47
-41,0,47
-39,1,48
-38,0,49
-41,-2,47
-41,-1,47
-40,0,48
-41,-1,47
-42,0,46
-42,0,47
-41,0,47
-42,0,47
-42,0,46
-41,0,47
-41,0,47
-43,1,46
-40,-1,48
-42,2,46
-40,0,47
-40,1,48
-41,2,47
-41,0,47
-41,-2,47
-41,0,46
-39,-1,50
-42,0,47
-42,0,46
-40,0,48
-40,0,48
-41,0,47
-41,0,47
-40,0,47
-42,0,46
-41,0,47
-41,0,47
-42,0,46
-42,0,47
-38,1,49
-42,1,46
-41,0,47
-39,0,48
-41,0,47
-41,0,47
-40,0,49
-40,0,46
-41,0,47
-41,0,47
-41,0,47
-41,0,47
-41,0,47
-40,0,47
-41,0,47
-41,0,46
-41,0,47
-41,0,47
-41,0,47
-41,0,47
-41,0,47
-41,0,47
-41,0,47
-41,0,47
-41,0,47
-41,0,47
-41,0,47
-41,0,47
-41,0,47
-41,0,47
-41,0,47
-42,0,47
-40,-5,46
-39,2,48
-39,3,49
-42,0,46
-42,0,46
-41,0,47
-38,-1,49
-39,0,49
-37,0,50
-37,0,50
-39,1,49
-40,0,48
-42,2,47
-41,1,47
-41,0,48
-40,0,48
-40,0,48
-39,1,49
-39,0,49
-38,0,49
-38,0,49
-37,0,50
-36,0,50
-36,0,51
-37,0,50
-37,1,50
-38,1,49
-39,1,49
-39,0,48
-37,0,50
-37,0,50
-37,0,50
-37,0,50
-36,0,51
-36,0,51
-38,0,50
-38,0,49
-38,0,49
-38,0,49
-38,0,49
-38,0,49
-38,0,49
-38,0,49
-39,0,49
-39,0,49
-39,0,49
-39,0,48
-39,0,48
-39,0,48
-40,0,48
-40,0,48
-39,0,48
-40,0,48
-40,0,48
-39,0,48
-39,0,48
-40,0,48
-39,0,48
-39,0,48
-39,0,48
-39,0,48
-40,0,48
-39,0,48
-40,0,48
-39,-1,48
-39,0,48
-39,0,49
-39,0,48
-39,0,49
-40,1,49
-38,-2,48
-39,-1,49
-40,0,48
-40,0,48
-40,0,48
-40,0,48
-39,0,48
-40,0,48
-40,0,48
-39,0,48
-39,0,49
-39,0,48
-39,0,48
-40,0,48
-40,0,48
-39,0,48
-39,0,48
-40,0,48
-40,0,48
-40,0,48
-40,0,48
-40,0,48
-40,0,48
-40,0,48
-41,0,47
-40,0,48
-40,0,48
-40,0,48
-40,0,48
-40,0,48
-40,0,48
